DB12434: 0.36: 
DB06707: 0.17000000000000004: 
DB00663: 0.0: 
DB01421: 0.020000000000000018: 
DB13211: 0.43999999999999995: 
DB13955: 0.13: 
DB14545: 0.030000000000000027: 
DB00825: 0.43000000000000005: 
DB09280: 0.41000000000000003: 
DB12500: 0.48: 
DB00824: 0.35: 
DB00693: 0.18999999999999995: 
DB11273: 0.0: 
DB14644: 0.030000000000000027: 
DB00405: 0.07999999999999996: 
DB06789: 0.06999999999999995: 
DB11115: 0.65: 
DB14175: 0.51: 
DB06751: 0.53: 
DB01299: 0.41000000000000003: 
DB00121: 0.48: 
DB12343: 0.15000000000000002: 
DB13253: 0.17000000000000004: 
DB00141: 0.45999999999999996: 
DB00296: 0.09999999999999998: 
DB05018: 0.49: 
DB01063: 0.18999999999999995: 
DB00530: 0.25: 
DB03166: 0.36: 
DB00252: 0.43999999999999995: 
DB06249: 0.43000000000000005: 
DB09119: 0.5700000000000001: 
DB11823: 0.0: 
DB00649: 0.31999999999999995: 
DB00485: 0.010000000000000009: 
DB12362: 0.54: 
DB14082: 0.69: 
DB11591: 0.54: 
DB03128: 0.56: 
DB11921: 0.43000000000000005: 
DB01000: 0.13: 
DB00173: 0.55: 
DB00689: 0.07999999999999996: 
DB13286: 0.29000000000000004: 
DB11145: 0.52: 
DB00382: 0.45999999999999996: 
DB04339: 0.54: 
DB06766: 0.45999999999999996: 
DB06414: 0.5900000000000001: 
DB14638: 0.56: 
DB01082: 0.07999999999999996: 
DB01193: 0.42000000000000004: 
DB13262: 0.56: 
DB13783: 0.38: 
DB00316: 0.42000000000000004: 
DB00719: 0.06999999999999995: 
DB00414: 0.4: 
DB06709: 0.37: 
DB08973: 0.18000000000000005: 
DB11201: 0.21999999999999997: 
DB09195: 0.55: 
DB09144: 0.28: 
DB00787: 0.030000000000000027: 
DB00242: 0.15000000000000002: 
DB13114: 0.44999999999999996: 
DB00578: 0.08999999999999997: 
DB00518: 0.52: 
DB01001: 0.0: 
DB00980: 0.27: 
DB01259: 0.43999999999999995: 
DB00346: 0.14: 
DB00969: 0.39: 
DB13657: 0.33999999999999997: 
DB09069: 0.55: 
DB14476: 0.0: 
DB00404: 0.32999999999999996: 
DB01336: 0.4: 
DB12792: 0.56: 
DB06077: 0.42000000000000004: 
DB01264: 0.48: 
DB08815: 0.43000000000000005: 
DB04657: 0.6599999999999999: 
DB00915: 0.17000000000000004: 
DB00301: 0.050000000000000044: 
DB00271: 0.32999999999999996: 
DB00357: 0.06999999999999995: 
DB00345: 0.32999999999999996: 
DB00277: 0.28: 
DB01118: 0.51: 
DB06288: 0.14: 
DB00321: 0.050000000000000044: 
DB01025: 0.51: 
DB06268: 0.43000000000000005: 
DB00398: 0.13: 
DB00381: 0.14: 
DB00480: 0.06999999999999995: 
DB06202: 0.5: 
DB01351: 0.020000000000000018: 
DB00613: 0.51: 
DB00394: 0.18999999999999995: 
DB00194: 0.06999999999999995: 
DB00543: 0.49: 
DB00276: 0.54: 
DB00261: 0.52: 
DB08801: 0.55: 
DB01217: 0.62: 
